uuid,latitude,longitude,storeType,city,countryCode,houseNumber,houseNumberExtra,postalCode,street,openingDays,machineWorking,supermarketBranch
8qsKYx4XA_MAAAFLFtEai3Gk,51.588186,4.459236,SupermarktPuP,Oud-Gastel,NLD,5,,4751 AH,Dorpsstraat,{},,jumbo
rYoKYx4XeVsAAAFIhPYYwKxJ,51.812668,3.936138,SupermarktPuP,Ouddorp,NLD,4,,3253 AM,Molenweg,{},,jumbo
YDYKYx4XS0sAAAFI40UYwKxK,53.103564,7.007317,SupermarktPuP,Oude Pekela,NLD,16,,9665 JX,De Helling,{},,jumbo
qXoKY7QTOZ4AAAGEXCM4.eUA,52.297229,4.914565,SupermarktPuP,Ouderkerk aan de Amstel,NLD,41-46,,1191 GV,Sluisplein,{},,jumbo
2hoKYx4XnFYAAAFIvQQYwKxK,52.031158,4.864820,SupermarktPuP,Oudewater,NLD,1,,3421 JB,Wagenerf,{},,jumbo
fCgKYx4Xi8QAAAFNQBpasGod,51.326703,5.975569,SupermarktPuP,Panningen,NLD,43,,5981 CD,Kerkstraat,{},,jumbo
w30KYx4XctYAAAFIVG4YwKxK,51.826161,4.684061,SupermarktPuP,Papendrecht,NLD,4,,3353 HH,Meent Passage,{},,jumbo
COUKYx4XXuAAAAFKHgFHt7ov,51.836790,4.684962,SupermarktPuP,Papendrecht,NLD,5,,3351 JM,Jan van Goijenstraat,{},,jumbo
5aEKYx4XB9UAAAFJYQ4YZ4CR,52.021798,4.218062,SupermarktPuP,Poeldijk,NLD,28,,2685 EB,Rijsenburgerweg,{},,jumbo
Kh8KYx4X98kAAAFIrRQYwKxK,51.599912,4.719296,SupermarktPuP,Prinsenbeek,NLD,14,,4841 AC,Markt,{},,jumbo
1pEKYx4XVMQAAAFIzdcYwKrG,52.506142,4.984732,SupermarktPuP,Purmerend,NLD,58,,1445 BM,Gildeplein,{},,jumbo
pdwKY7XNWC8AAAGAQbJ9Fxsf,52.508640,4.948430,SupermarktPuP,Purmerend,NLD,19,,1441 CH,Willem Eggertstraat,{},,jumbo
o.YKYx4XqacAAAFoVw1Drrs5,51.358296,4.392928,SupermarktPuP,Putte,NLD,34,,4645 HR,Tervoplein,{},,jumbo
BR4KYx4XUbUAAAFmArQZaVtT,52.260197,5.610716,SupermarktPuP,Putten,NLD,4,,3881 EC,Postweg,{},,jumbo
ZYIKYx4XTKcAAAFIjvsYwKxJ,52.384903,6.274948,SupermarktPuP,Raalte,NLD,6,,8102 CC,Domineeskamp,{},,jumbo
Km0KYx4X._YAAAFI1NIYwKrG,52.392947,6.286877,SupermarktPuP,Raalte,NLD,2,,8103 EB,Kwartel,{},,jumbo
GJUKYx4X6nwAAAFJxw4YZ4CR,51.695772,4.867307,SupermarktPuP,Raamsdonksveer,NLD,11,,4941 ZL,Boterpolderlaan,{},,jumbo
iCkKYx4XraUAAAFIECkYwKxK,52.045478,4.725994,SupermarktPuP,Reeuwijk,NLD,18,,2811 BB,Miereakker,{},,jumbo
